Temp,Humd,Label
23,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
24,34,1
